epi,men,women,difference,name
583618,7.11,7.47,-0.36,"""The One with the Invitation"""
756484,7.42,7.74,-0.32,
583633,8.17,8.47,-0.3,
583484,8.54,8.84,-0.3,
583516,8.24,8.53,-0.29,
583613,8.37,8.64,-0.27,
583489,8.37,8.64,-0.27,
583648,7.89,8.15,-0.26,
583459,8.5,8.75,-0.25,
583461,8.16,8.4,-0.24,
583473,8.22,8.46,-0.24,
583569,8.36,8.59,-0.23,
583521,8.16,8.38,-0.22,
583513,8.41,8.63,-0.22,
583435,8.43,8.65,-0.22,
583454,8.36,8.58,-0.22,
583649,8.29,8.5,-0.21,
583601,8,8.21,-0.21,
583542,8.65,8.86,-0.21,
583457,8.32,8.53,-0.21,
583597,7.81,8.01,-0.2,
583492,8.23,8.43,-0.2,
583561,8.49,8.69,-0.2,
583441,8.36,8.55,-0.19,
583442,8.34,8.53,-0.19,
756482,7.45,7.64,-0.19,
583541,8.37,8.55,-0.18,
583624,8.02,8.2,-0.18,
583544,8.02,8.2,-0.18,
583527,7.53,7.71,-0.18,
583647,8.11,8.28,-0.17,
583653,8.2,8.37,-0.17,
583603,7.93,8.1,-0.17,
583630,8.04,8.2,-0.16,
583616,8.29,8.45,-0.16,
583619,8.08,8.24,-0.16,
583589,8.29,8.45,-0.16,
583602,7.95,8.11,-0.16,
583568,8.2,8.35,-0.15,
583446,8.42,8.57,-0.15,
583477,8.19,8.34,-0.15,
583598,8.21,8.36,-0.15,
583609,8.3,8.45,-0.15,
583462,8.07,8.21,-0.14,
583537,7.92,8.06,-0.14,
583567,8.04,8.18,-0.14,
583615,8.37,8.51,-0.14,
583652,9.03,9.17,-0.14,
583504,8.46,8.6,-0.14,
583453,8.29,8.42,-0.13,
583499,8.17,8.3,-0.13,
583436,8.34,8.47,-0.13,
583539,7.95,8.08,-0.13,
583440,8.65,8.78,-0.13,
583450,8.38,8.51,-0.13,
583564,8.64,8.77,-0.13,
583481,8.86,8.98,-0.12,
583596,8.13,8.25,-0.12,
583572,8.05,8.17,-0.12,
583532,8.96,9.08,-0.12,
583631,8.28,8.39,-0.11,
583518,7.56,7.67,-0.11,
583577,8.51,8.62,-0.11,
583593,8.4,8.51,-0.11,
