epi,men,women,difference,name,horz,vert
697804,8.32,8.43,-0.11,"""The Virgin""",-0.4,0.18
697756,8.32,8.3,0.02,,,
697644,7.32,7.3,0.02,,,
697654,8.41,8.37,0.04,,,
697802,8.21,8.15,0.06,,,
697743,8.4,8.32,0.08,,,
697681,8.35,8.27,0.08,,,
697768,7.6,7.51,0.09,,,
697661,8.23,8.14,0.09,,,
697733,8.31,8.22,0.09,,,
697772,8.19,8.1,0.09,,,
697785,8.78,8.68,0.1,,,
697783,8.49,8.38,0.11,,,
697784,7.75,7.63,0.12,,,
697684,8.38,8.25,0.13,,,
697691,8.56,8.42,0.14,,,
697703,8.45,8.3,0.15,,,
697699,8.34,8.19,0.15,,,
697774,8.32,8.16,0.16,,,
697780,8.2,8.03,0.17,,,
697801,7.89,7.7,0.19,,,
697718,8.29,8.1,0.19,,,
697664,7.82,7.63,0.19,,,
697757,8.06,7.86,0.2,,,
697700,7.99,7.79,0.2,,,
697795,8.6,8.38,0.22,,,
697686,7.22,7,0.22,,,
697781,8.41,8.19,0.22,,,
697723,8.61,8.38,0.23,,,
697812,8.79,8.56,0.23,,,
697720,8.04,7.81,0.23,,,
697730,8.02,7.79,0.23,,,
893212,8.04,7.81,0.23,,,
697676,8.35,8.12,0.23,,,
697735,8.31,8.07,0.24,,,
697753,8.64,8.38,0.26,,,
697734,8.01,7.75,0.26,,,
697759,8.32,8.04,0.28,,,
697771,8.48,8.2,0.28,,,
697794,8.71,8.43,0.28,,,
697790,8.85,8.56,0.29,,,
697728,8.66,8.37,0.29,,,
697689,8.51,8.21,0.3,,,
697724,8.61,8.31,0.3,,,
697692,7.73,7.43,0.3,,,
697687,8.34,8.03,0.31,,,
697736,8.6,8.29,0.31,,,
697659,8.5,8.19,0.31,,,
697671,8.11,7.79,0.32,,,
697709,8.09,7.77,0.32,,,
697656,8.36,8.04,0.32,,,
697747,8.74,8.41,0.33,,,
697740,8.17,7.84,0.33,,,
697726,8.22,7.89,0.33,,,
697788,7.66,7.32,0.34,,,
697727,8.13,7.79,0.34,,,
697680,8.29,7.94,0.35,,,
697713,8.43,8.08,0.35,,,
697776,8.54,8.19,0.35,,,
697732,8.22,7.87,0.35,,,
697688,8.51,8.15,0.36,,,
697690,8.65,8.29,0.36,,,
697698,8.43,8.06,0.37,,,
697739,8.62,8.25,0.37,,,
697672,8.35,7.98,0.37,,,
697645,7.49,7.12,0.37,,,
697675,8.74,8.37,0.37,,,
697760,8.7,8.32,0.38,,,
697750,8.58,8.2,0.38,,,
697770,8.31,7.93,0.38,,,
697653,8.29,7.9,0.39,,,
697805,8.26,7.87,0.39,,,
697746,8.72,8.33,0.39,,,
697810,8.11,7.71,0.4,,,
697786,8.05,7.65,0.4,,,
697758,8.42,8.02,0.4,,,
697742,8.32,7.91,0.41,,,
697711,8.78,8.37,0.41,,,
697712,8.76,8.35,0.41,,,
697787,8.15,7.73,0.42,,,
697708,8.45,8.03,0.42,,,
697677,8.57,8.15,0.42,,,
697665,8.61,8.19,0.42,,,
697778,8.6,8.17,0.43,,,
697670,8.16,7.73,0.43,,,
697797,8.75,8.31,0.44,,,
697717,8.61,8.17,0.44,,,
697803,8.26,7.82,0.44,,,
697651,8.43,7.99,0.44,,,
697741,8.35,7.9,0.45,,,
697694,8.35,7.9,0.45,,,
697648,8.51,8.05,0.46,,,
697749,8.41,7.94,0.47,,,
697666,8.74,8.26,0.48,,,
697791,8.24,7.76,0.48,,,
697682,8.33,7.84,0.49,,,
697808,8.17,7.68,0.49,,,
697669,8.85,8.36,0.49,,,
697799,8.37,7.87,0.5,,,
697809,8.28,7.78,0.5,,,
697752,8.69,8.18,0.51,,,
697685,8.19,7.68,0.51,,,
697649,8.49,7.98,0.51,,,
697806,8.64,8.13,0.51,,,
697807,8.46,7.95,0.51,,,
697737,8.8,8.29,0.51,,,
697683,8.56,8.04,0.52,,,
697779,8.35,7.82,0.53,,,
697719,8.7,8.17,0.53,,,
697705,8.85,8.32,0.53,,,
697678,8.83,8.3,0.53,,,
697813,8.25,7.72,0.53,,,
697704,8.05,7.52,0.53,,,
